track_name,track_artist,track_popularity,playlist_genre,energy,danceability,valence,acousticness,loudness,tempo,popularity_tier
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,81,pop,0.824,0.709,0.867,0.207,-8.824,118.818,high
Gimme More,Britney Spears,80,pop,0.844,0.788,0.382,0.25,-3.131,113.324,high
24K Magic,Bruno Mars,80,pop,0.803,0.818,0.632,0.034,-4.282,106.97,high
Girls Just Want to Have Fun,Cyndi Lauper,80,pop,0.799,0.71,0.725,0.22,-4.897,120.372,high
Stereo Hearts (feat. Adam Levine),"Gym Class Heroes, Adam Levine",80,pop,0.795,0.646,0.796,0.0319,-3.293,89.99,high
Call Me Maybe,Carly Rae Jepsen,80,pop,0.58,0.782,0.66,0.0114,-6.548,120.021,high
No Lie,"Sean Paul, Dua Lipa",80,pop,0.882,0.742,0.463,0.0466,-2.862,102.04,high
SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland",80,pop,0.583,0.967,0.964,0.0584,-5.562,117.0,high
I Gotta Feeling,Black Eyed Peas,80,pop,0.766,0.744,0.61,0.0873,-6.375,127.966,high
What Do You Mean?,Justin Bieber,79,pop,0.567,0.845,0.793,0.59,-8.118,125.02,high
Don't Stop The Music,Rihanna,79,pop,0.669,0.834,0.547,0.0341,-5.582,122.669,high
Wannabe,Spice Girls,79,pop,0.864,0.768,0.891,0.101,-6.149,110.009,high
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","Maroon 5, Christina Aguilera",79,pop,0.761,0.722,0.624,0.0119,-4.46,128.046,high
Oops!...I Did It Again,Britney Spears,79,pop,0.834,0.751,0.894,0.3,-5.444,95.053,high
Tainted Love,Soft Cell,79,pop,0.501,0.5,0.623,0.462,-8.284,144.438,high
Just Dance,"Lady Gaga, Colby O'Donis",79,pop,0.739,0.822,0.745,0.0264,-4.541,118.99,high
Candy Shop,"50 Cent, Olivia",78,pop,0.574,0.613,0.755,0.0253,-7.961,125.18,high
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,78,pop,0.491,0.749,0.536,0.02,-9.655,119.528,high
Don't You Worry Child - Radio Edit,"Swedish House Mafia, John Martin",78,pop,0.84,0.612,0.438,0.112,-3.145,129.042,high
Rock Your Body,Justin Timberlake,78,pop,0.714,0.892,0.817,0.201,-6.055,100.972,high
Disturbia,Rihanna,78,pop,0.814,0.707,0.717,0.0861,-4.509,124.921,high
Believe,Cher,78,pop,0.917,0.652,0.459,0.0082,-6.72,132.975,high
Don't Go Breaking My Heart,"Elton John, Kiki Dee",78,pop,0.844,0.729,0.777,0.149,-8.824,131.459,high
Can't Get You out of My Head,Kylie Minogue,78,pop,0.563,0.766,0.964,0.0263,-7.516,126.007,high
Temperature,Sean Paul,78,pop,0.6,0.951,0.822,0.106,-4.675,125.04,high
Latch,"Disclosure, Sam Smith",78,pop,0.726,0.503,0.529,0.0159,-5.456,121.981,high
9 to 5,Dolly Parton,78,pop,0.783,0.554,0.813,0.416,-5.852,105.39,high
Shake It Off,Taylor Swift,78,pop,0.8,0.647,0.942,0.0647,-5.384,160.078,high
Pon de Replay,Rihanna,78,pop,0.64,0.779,0.499,0.000155,-8.415,99.017,high
Lady - Hear Me Tonight,Modjo,77,pop,0.808,0.72,0.869,0.00793,-5.627,126.041,high
All That She Wants,Ace of Base,77,pop,0.625,0.798,0.858,0.00547,-9.689,93.764,high
Levels - Radio Edit,Avicii,77,pop,0.889,0.584,0.464,0.0462,-5.941,126.04,high
Billie Jean,Michael Jackson,77,pop,0.654,0.92,0.847,0.0236,-3.051,117.046,high
Feel This Moment (feat. Christina Aguilera),"Pitbull, Christina Aguilera",77,pop,0.758,0.673,0.542,0.039,-3.632,135.956,high
Crazy In Love (feat. Jay-Z),"Beyoncé, JAY-Z",77,pop,0.77,0.646,0.681,0.00249,-6.596,99.165,high
Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",76,pop,0.922,0.641,0.847,0.0291,-4.457,146.078,high
Starships,Nicki Minaj,76,pop,0.716,0.747,0.751,0.135,-2.457,125.006,high
No Diggity,"Blackstreet, Dr. Dre, Queen Pen",76,pop,0.646,0.867,0.67,0.303,-4.674,88.634,high
Walking On Sunshine,Katrina & The Waves,76,pop,0.87,0.597,0.944,0.0119,-11.97,109.901,high
International Love (feat. Chris Brown),"Pitbull, Chris Brown",77,pop,0.855,0.67,0.648,0.0124,-3.035,120.05,high
Mamma Mia,ABBA,76,pop,0.748,0.749,0.827,0.295,-7.011,137.547,high
Don't You Want Me,The Human League,76,pop,0.738,0.731,0.958,0.184,-8.125,117.656,high
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,76,pop,0.83,0.666,0.702,0.0123,-5.715,113.03,high
Boogie Wonderland,"Earth, Wind & Fire, The Emotions",76,pop,0.756,0.802,0.963,0.0843,-10.791,131.715,high
Con Calma,"Daddy Yankee, Snow",76,pop,0.86,0.737,0.656,0.11,-2.652,93.989,high
Glad You Came,The Wanted,76,pop,0.851,0.722,0.452,0.0319,-3.873,126.885,high
Lean On (feat. MØ & DJ Snake),"Major Lazer, MØ, DJ Snake",76,pop,0.809,0.723,0.274,0.00346,-3.081,98.007,high
Good Feeling,Flo Rida,76,pop,0.89,0.706,0.684,0.0588,-4.444,128.011,high
Good Time,"Owl City, Carly Rae Jepsen",75,pop,0.872,0.56,0.682,0.0239,-4.269,126.05,high
Replay,Iyaz,75,pop,0.751,0.706,0.195,0.173,-6.323,91.031,high
Break Free,"Ariana Grande, Zedd",75,pop,0.702,0.686,0.29,0.00637,-5.325,129.948,high
"Freed From Desire - prod. Molella, Phil Jay","Gala, Molella, Phil Jay",75,pop,0.861,0.704,0.636,0.587,-4.221,128.99,high
Flashdance...What a Feeling - Radio Edit,Irene Cara,75,pop,0.655,0.572,0.392,0.00579,-7.027,122.49,high
Ride Wit Me,"Nelly, City Spud",75,pop,0.7,0.85,0.724,0.0607,-6.49,101.875,high
Mambo No. 5 (a Little Bit of...),Lou Bega,75,pop,0.807,0.622,0.892,0.103,-6.752,174.06,high
Let's Groove,"Earth, Wind & Fire",75,pop,0.648,0.869,0.9,0.121,-8.698,125.035,high
"Whenever, Wherever",Shakira,74,pop,0.832,0.794,0.871,0.237,-4.862,107.657,high
Destination Calabria - Radio Edit,"Alex Gaudino, Crystal Waters",74,pop,0.954,0.627,0.312,0.0015,-4.804,128.016,high
Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,74,pop,0.853,0.731,0.605,0.0352,-4.219,108.016,high
Like a Prayer,Madonna,74,pop,0.842,0.625,0.26,0.264,-5.285,111.038,high
Hot N Cold,Katy Perry,74,pop,0.842,0.706,0.861,7.73e-05,-3.956,132.032,high
Bye Bye Bye,*NSYNC,74,pop,0.928,0.614,0.879,0.0408,-4.806,172.656,high
Hot In Herre,Nelly,74,pop,0.741,0.956,0.911,0.204,-4.753,107.075,high
Take A Chance On Me,ABBA,74,pop,0.675,0.684,0.924,0.163,-8.123,107.064,high
Barbie Girl,Aqua,74,pop,0.879,0.812,0.962,0.017,-10.998,129.991,high
Give It To Me,"Timbaland, Justin Timberlake, Nelly Furtado",74,pop,0.711,0.975,0.815,0.168,-3.904,110.621,high
Just Can't Get Enough,Depeche Mode,74,pop,0.772,0.766,0.919,0.403,-9.362,128.168,high
Stayin' Alive,Bee Gees,74,pop,0.535,0.707,0.641,0.113,-19.793,103.644,high
Return of the Mack,Mark Morrison,73,pop,0.833,0.715,0.612,0.00631,-5.379,95.487,high
Don't Stop 'Til You Get Enough,Michael Jackson,73,pop,0.821,0.878,0.947,0.126,-9.875,118.881,high
"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,73,pop,0.495,0.737,0.967,0.0588,-13.489,104.409,high
Don't Worry (with Ray Dalton) - Radio Edit,"Madcon, Ray Dalton",73,pop,0.699,0.811,0.733,0.0726,-5.211,122.987,high
Livin' la Vida Loca,Ricky Martin,73,pop,0.954,0.425,0.933,0.00414,-3.756,178.043,high
Blurred Lines,"Robin Thicke, T.I., Pharrell Williams",73,pop,0.599,0.853,0.843,0.00334,-4.756,119.993,high
4 Minutes (feat. Justin Timberlake & Timbaland),"Madonna, Justin Timberlake, Timbaland",73,pop,0.931,0.753,0.767,0.00994,-4.922,113.026,high
Call on Me - Radio Mix,Eric Prydz,73,pop,0.837,0.597,0.447,0.00427,-6.518,126.342,high
Best of My Love,The Emotions,73,pop,0.713,0.784,0.97,0.447,-6.865,115.443,high
Get Up (Rattle) [feat. Far East Movement] - Vocal Edit,"Bingo Players, Far East Movement",72,pop,0.985,0.801,0.72,0.0205,-2.69,127.99,high
Kiss,Prince,73,pop,0.271,0.898,0.742,0.0135,-12.238,111.485,high
Where Them Girls At (feat. Nicki Minaj & Flo Rida),"David Guetta, Flo Rida, Nicki Minaj",72,pop,0.876,0.666,0.552,0.055,-3.078,129.884,high
I Kissed A Girl,Katy Perry,72,pop,0.76,0.702,0.696,0.00226,-3.174,129.996,high
Miami,Will Smith,72,pop,0.534,0.877,0.89,0.0339,-6.178,108.17,high
Coco Jamboo,Mr. President,72,pop,0.838,0.832,0.965,0.0791,-5.414,100.021,high
Born to Be Alive - The Original,Patrick Hernandez,72,pop,0.868,0.704,0.808,0.0834,-5.808,131.468,high
Music Sounds Better With You - Radio Edit,"Stardust, Benjamin Diamond, Alan Braxe, Thomas Bangalter",72,pop,0.662,0.729,0.359,0.00128,-7.191,124.149,high
Gangnam Style (강남스타일),PSY,72,pop,0.937,0.727,0.749,0.00417,-2.871,132.067,high
All Around The World (La La La),"R3HAB, A Touch Of Class",71,pop,0.859,0.733,0.52,0.479,-5.03,124.948,high
The Sign,Ace of Base,71,pop,0.786,0.808,0.899,0.00928,-6.897,96.987,high
Don't Cha,"The Pussycat Dolls, Busta Rhymes",71,pop,0.63,0.875,0.548,0.00546,-3.475,120.016,high
U Can't Touch This,MC Hammer,71,pop,0.517,0.867,0.862,0.00449,-13.22,133.149,high
Love Really Hurts Without You,Billy Ocean,71,pop,0.907,0.518,0.961,0.00221,-3.732,140.982,high
Cotton Eye Joe,Rednex,71,pop,0.936,0.729,0.598,0.0129,-7.536,131.986,high
Born This Way,Lady Gaga,71,pop,0.828,0.587,0.493,0.00327,-5.108,123.907,high
Rockabye (feat. Sean Paul & Anne-Marie),"Clean Bandit, Sean Paul, Anne-Marie",70,pop,0.763,0.72,0.742,0.406,-4.068,101.965,high
Tarzan Boy,Baltimora,70,pop,0.573,0.684,0.716,0.318,-12.3,107.363,high
The Rhythm of the Night,Corona,70,pop,0.805,0.69,0.799,0.000232,-11.522,127.808,high
Never Forget You,"Zara Larsson, MNEK",70,pop,0.732,0.583,0.277,0.00315,-5.729,146.005,high
Ice Ice Baby,Vanilla Ice,70,pop,0.792,0.979,0.583,0.0025,-2.784,116.012,high
Beanie,Chezile,82,pop,0.556,0.531,0.156,0.407,-6.245,138.978,high
the perfect pair,beabadoobee,80,pop,0.663,0.634,0.6,0.433,-6.818,146.053,high
Nothing's New,Rio Romeo,78,pop,0.394,0.421,0.399,0.863,-8.312,96.192,high
Bags,Clairo,78,pop,0.546,0.742,0.868,0.172,-7.694,104.996,high
Tip Toe,HYBS,76,pop,0.486,0.687,0.792,0.587,-8.673,163.9,high
For the First Time,Mac DeMarco,80,pop,0.529,0.551,0.521,0.296,-10.469,75.515,high
Better,sign crushes motorist,73,pop,0.0867,0.696,0.349,0.988,-25.203,129.989,high
4EVER,Clairo,73,pop,0.585,0.75,0.584,0.049,-7.576,102.331,high
In A Good Way,Faye Webster,71,pop,0.286,0.587,0.302,0.185,-8.839,71.123,high
i wanna be your girlfriend,girl in red,73,pop,0.382,0.541,0.343,0.0215,-14.323,155.901,high
Like a Stone,Audioslave,77,rock,0.568,0.614,0.516,0.00797,-5.477,107.849,high
Do I Wanna Know?,Arctic Monkeys,84,rock,0.532,0.548,0.405,0.186,-7.596,85.03,high
Ride,Twenty One Pilots,80,rock,0.713,0.645,0.566,0.00835,-5.355,74.989,high
Otherside,Red Hot Chili Peppers,81,rock,0.795,0.458,0.513,0.00316,-3.265,123.229,high
What I've Done,Linkin Park,81,rock,0.935,0.627,0.287,0.0092,-4.882,120.092,high
Decode,Paramore,71,rock,0.87,0.28,0.284,0.000686,-4.219,164.057,high
Breaking the Habit,Linkin Park,74,rock,0.865,0.58,0.587,0.105,-4.359,100.016,high
Maps,Yeah Yeah Yeahs,75,rock,0.941,0.502,0.124,0.000346,-5.194,119.783,high
BURN IT DOWN,Linkin Park,76,rock,0.972,0.585,0.585,0.0143,-4.45,110.006,high
New Divide,Linkin Park,70,rock,0.808,0.493,0.38,0.000235,-3.365,117.971,high
21 Guns,Green Day,74,rock,0.742,0.268,0.416,0.0518,-4.939,159.779,high
Everybody's Changing,Keane,73,rock,0.839,0.517,0.416,0.0014,-3.521,94.015,high
Leave Out All The Rest,Linkin Park,71,rock,0.637,0.514,0.18,0.213,-6.418,80.401,high
I Don't Love You,My Chemical Romance,74,rock,0.796,0.289,0.33,0.00837,-4.22,169.835,high
Scar Tissue,Red Hot Chili Peppers,82,rock,0.717,0.595,0.547,0.0779,-4.803,88.969,high
Where Is My Mind?,Pixies,72,rock,0.442,0.513,0.243,0.00731,-13.529,81.201,high
CASTLE OF GLASS,Linkin Park,74,rock,0.911,0.615,0.685,0.0686,-3.584,108.0,high
Can't Stop,Red Hot Chili Peppers,81,rock,0.938,0.618,0.875,0.0179,-3.442,91.455,high
Black,Pearl Jam,73,rock,0.684,0.36,0.2,0.323,-6.457,77.15,high
THE LONELIEST,Måneskin,68,rock,0.595,0.519,0.237,0.00151,-5.001,129.786,high
Ain't No Rest for the Wicked,Cage The Elephant,76,rock,0.849,0.636,0.917,0.0438,-7.075,156.036,high
Snow (Hey Oh),Red Hot Chili Peppers,77,rock,0.9,0.427,0.599,0.116,-3.674,104.655,high
Supermassive Black Hole,Muse,78,rock,0.921,0.668,0.782,0.0492,-3.727,120.0,high
My Demons,STARSET,70,rock,0.652,0.274,0.1,0.00768,-6.196,173.008,high
Use Somebody,Kings of Leon,76,rock,0.715,0.276,0.173,0.00552,-5.356,137.028,high
Dani California,Red Hot Chili Peppers,77,rock,0.913,0.556,0.73,0.0193,-2.36,96.184,high
"Sex, Drugs, Etc.",Beach Weather,73,rock,0.839,0.572,0.465,0.013,-5.083,143.969,high
In My Place,Coldplay,74,rock,0.588,0.424,0.193,0.0553,-5.455,144.636,high
Paralyzer,Finger Eleven,74,rock,0.939,0.644,0.861,0.157,-3.486,106.031,high
Last Night on Earth,Green Day,68,rock,0.486,0.556,0.243,0.0371,-7.139,119.955,high
In the Shadows,The Rasmus,71,rock,0.796,0.6,0.75,0.000109,-4.481,105.991,high
Take Me Out,Franz Ferdinand,80,rock,0.663,0.277,0.527,0.000409,-8.821,104.561,high
Far Behind,Candlebox,68,rock,0.645,0.552,0.588,0.00187,-6.595,89.518,high
Just Like Heaven,The Cure,73,rock,0.94,0.437,0.48,0.0524,-6.946,151.417,high
By the Way,Red Hot Chili Peppers,74,rock,0.97,0.451,0.198,0.0264,-4.938,122.444,high
Two Faced,Linkin Park,79,rock,0.945,0.51,0.323,0.000658,-5.405,91.906,high
Starburster,Fontaines D.C.,69,rock,0.862,0.511,0.361,0.0656,-5.677,98.021,high
Beaches,beabadoobee,69,rock,0.812,0.417,0.419,0.0154,-3.979,82.002,high
Fear of the Dark - 2015 Remaster,Iron Maiden,69,metal,0.866,0.308,0.227,0.000739,-5.671,109.825,high
Seek & Destroy - Remastered,Metallica,68,metal,0.964,0.445,0.448,0.037,-5.493,140.817,high
Dirty Little Secret,The All-American Rejects,70,punk,0.954,0.465,0.458,0.000346,-4.251,143.85,high
The Middle,Jimmy Eat World,80,punk,0.849,0.643,0.903,0.0371,-5.428,162.152,high
Gives You Hell,The All-American Rejects,69,punk,0.691,0.718,0.552,0.0159,-6.44,100.008,high
1985,Bowling For Soup,69,punk,0.887,0.606,0.903,0.000242,-4.404,119.974,high
Stacy's Mom,Fountains Of Wayne,72,punk,0.75,0.774,0.927,0.00207,-4.927,118.015,high
Misery Business,Paramore,73,punk,0.906,0.517,0.731,0.00272,-3.677,172.977,high
Call Me When You're Sober,Evanescence,69,punk,0.883,0.45,0.328,0.00193,-4.094,93.41,high
Sk8er Boi,Avril Lavigne,77,punk,0.9,0.487,0.484,6.79e-05,-4.417,149.937,high
I'm with You,Avril Lavigne,73,punk,0.406,0.457,0.208,0.08,-7.462,151.95,high
My Happy Ending,Avril Lavigne,70,punk,0.936,0.414,0.74,0.00136,-2.407,170.229,high
The Anthem,Good Charlotte,75,punk,0.939,0.494,0.893,0.00666,-3.127,177.751,high
Ain't It Fun,Paramore,71,punk,0.893,0.61,0.673,0.154,-3.681,104.031,high
Still into You,Paramore,78,punk,0.923,0.602,0.765,0.0098,-3.763,136.01,high
I Write Sins Not Tragedies,Panic! At The Disco,72,punk,0.83,0.569,0.609,0.0807,-4.106,170.094,high
All The Small Things,blink-182,81,punk,0.897,0.434,0.685,0.0103,-4.918,148.708,high
Wake Me up When September Ends,Green Day,77,punk,0.814,0.546,0.146,0.023,-5.146,104.98,high
Bring Me To Life,Evanescence,83,punk,0.943,0.331,0.296,0.00721,-3.188,94.612,high
What the Hell,Avril Lavigne,71,punk,0.926,0.578,0.877,0.00472,-3.689,149.976,high
I Miss You,blink-182,75,punk,0.781,0.655,0.584,0.00103,-6.547,110.024,high
Boulevard of Broken Dreams,Green Day,70,punk,0.682,0.496,0.474,0.00552,-4.095,167.06,high
American Idiot,Green Day,79,punk,0.988,0.38,0.769,2.64e-05,-2.042,186.113,high
Beverly Hills,Weezer,68,punk,0.823,0.693,0.741,0.0932,-3.761,87.904,high
The Only Exception,Paramore,74,punk,0.563,0.452,0.209,0.144,-6.607,137.715,high
I Think I'm OKAY (with YUNGBLUD & Travis Barker),"mgk, YUNGBLUD, Travis Barker",68,punk,0.744,0.628,0.277,0.0257,-4.718,119.921,high
My Own Worst Enemy,Lit,74,punk,0.946,0.494,0.741,0.00129,-2.757,103.408,high
Ocean Avenue,Yellowcard,71,punk,0.904,0.486,0.786,3.43e-05,-3.751,173.734,high
Face Down,The Red Jumpsuit Apparatus,75,punk,0.932,0.545,0.464,0.000665,-2.189,92.956,high
Miss Murder,AFI,68,punk,0.873,0.308,0.686,0.00022,-4.542,143.519,high
Thnks fr th Mmrs,Fall Out Boy,77,punk,0.892,0.46,0.59,0.0051,-5.046,154.844,high
Teenagers,My Chemical Romance,79,punk,0.857,0.463,0.856,0.0506,-3.063,111.647,high
Fat Lip,Sum 41,73,punk,0.914,0.403,0.626,0.000579,-5.215,196.482,high
What's My Age Again?,blink-182,77,punk,0.951,0.391,0.468,0.012,-7.419,157.663,high
Feel Good Inc.,Gorillaz,84,punk,0.705,0.818,0.772,0.00836,-6.679,138.559,high
I'm Not Okay (I Promise),My Chemical Romance,74,punk,0.94,0.21,0.255,0.00602,-3.427,179.722,high
Hard Times,Paramore,73,punk,0.818,0.695,0.916,0.00647,-5.379,119.965,high
Helena,My Chemical Romance,76,punk,0.96,0.356,0.0857,0.0142,-3.487,125.921,high
Famous Last Words,My Chemical Romance,72,punk,0.883,0.467,0.309,0.000321,-3.679,122.252,high
Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,68,punk,0.986,0.411,0.649,0.000264,-2.522,165.981,high
The Ghost of You,My Chemical Romance,70,punk,0.886,0.202,0.192,0.0286,-3.805,145.781,high
First Date,blink-182,74,punk,0.928,0.579,0.882,0.000715,-4.344,95.594,high
"Sugar, We're Goin Down",Fall Out Boy,76,punk,0.842,0.494,0.574,0.00579,-4.784,162.011,high
"Dance, Dance",Fall Out Boy,75,punk,0.961,0.621,0.449,0.00523,-3.198,114.451,high
The Rock Show,blink-182,69,punk,0.959,0.409,0.83,0.000324,-4.563,193.144,high
Holiday / Boulevard of Broken Dreams,Green Day,69,punk,0.827,0.29,0.45,0.000659,-3.451,167.086,high
Adam's Song,blink-182,71,punk,0.775,0.52,0.383,0.034,-5.803,136.02,high
King For A Day,"Pierce The Veil, Kellin Quinn",75,punk,0.965,0.403,0.431,3.81e-05,-2.238,112.363,high
Bulls In The Bronx,Pierce The Veil,68,punk,0.925,0.472,0.338,0.000394,-3.545,159.989,high
Sacrifice,Elton John,72,blues,0.422,0.756,0.487,0.0165,-12.967,112.751,high
I Will Always Love You,Whitney Houston,75,blues,0.214,0.332,0.11,0.845,-12.518,67.531,high
Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,74,blues,0.498,0.581,0.111,0.198,-6.9,116.262,high
End Of The Road,Boyz II Men,70,blues,0.428,0.641,0.53,0.0666,-9.29,149.705,high
The Power of Love,Céline Dion,71,blues,0.519,0.546,0.247,0.36,-9.072,140.054,high
"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,77,blues,0.652,0.52,0.722,0.339,-6.655,80.61,high
You Are Not Alone,Michael Jackson,68,blues,0.402,0.651,0.258,0.639,-9.303,119.873,high
Stuck On You,Lionel Richie,69,blues,0.317,0.509,0.247,0.621,-16.063,131.783,high
Killing Me Softly With His Song,Roberta Flack,70,blues,0.381,0.476,0.33,0.727,-10.238,121.948,high
Saving All My Love for You,Whitney Houston,68,blues,0.264,0.636,0.264,0.593,-14.567,99.304,high
Only Time,Enya,71,blues,0.249,0.418,0.213,0.841,-13.744,82.803,high
Apologize,OneRepublic,69,blues,0.74,0.593,0.501,0.364,-6.12,118.01,high
I'm Alive,Céline Dion,69,blues,0.64,0.691,0.452,0.0247,-5.087,101.991,high
Kiss from a Rose,Seal,71,blues,0.533,0.584,0.224,0.684,-7.11,131.745,high
Mad,Ne-Yo,70,blues,0.65,0.727,0.668,0.662,-5.357,129.993,high
It's All Coming Back to Me Now,Céline Dion,72,blues,0.438,0.384,0.287,0.753,-9.149,87.903,high
"Because You Loved Me (Theme from ""Up Close and Personal"")",Céline Dion,74,blues,0.467,0.615,0.177,0.314,-9.883,119.919,high
Sexual Healing,Marvin Gaye,73,blues,0.602,0.805,0.744,0.119,-9.7,94.382,high
All My Life,K-Ci & JoJo,68,blues,0.512,0.634,0.193,0.114,-8.651,128.019,high
You're Beautiful,James Blunt,75,blues,0.479,0.675,0.454,0.633,-9.87,81.998,high
Say My Name,Destiny's Child,78,blues,0.678,0.713,0.734,0.273,-3.525,138.009,high
Baby,"Justin Bieber, Ludacris",81,blues,0.859,0.728,0.535,0.0401,-5.237,65.043,high
Drunk in Love (feat. Jay-Z),"Beyoncé, JAY-Z",70,blues,0.621,0.583,0.399,0.00972,-6.902,140.036,high
Down,"Jay Sean, Lil Wayne",77,blues,0.68,0.727,0.728,0.0101,-4.498,132.012,high
Love The Way You Lie,"Eminem, Rihanna",83,blues,0.925,0.749,0.641,0.241,-5.034,86.989,high
Hate That I Love You,"Rihanna, Ne-Yo",69,blues,0.73,0.637,0.731,0.322,-5.38,93.867,high
No Love,"Eminem, Lil Wayne",68,blues,0.932,0.522,0.33,0.119,-2.87,129.473,high
Mirror,"Lil Wayne, Bruno Mars",74,blues,0.622,0.328,0.401,0.858,-7.291,74.267,high
Baby Can I Hold You,Tracy Chapman,72,blues,0.422,0.692,0.468,0.0811,-10.533,74.375,high
So Into You,Tamia,69,blues,0.479,0.656,0.708,0.0665,-7.055,184.374,high
Stan,"Eminem, Dido",79,blues,0.768,0.78,0.507,0.0371,-4.325,80.063,high
We Belong Together,Mariah Carey,74,blues,0.476,0.84,0.767,0.0264,-7.918,139.987,high
Nothing's Gonna Change My Love for You,George Benson,71,blues,0.614,0.553,0.345,0.764,-5.098,136.628,high
When I See U,Fantasia,69,blues,0.596,0.569,0.754,0.452,-6.486,93.135,high
Another Day in Paradise - 2016 Remaster,Phil Collins,77,blues,0.565,0.78,0.365,0.736,-7.32,101.967,high
Stand By Me,Ben E. King,75,blues,0.306,0.65,0.605,0.57,-9.443,118.068,high
Beautiful Girls,Sean Kingston,78,blues,0.661,0.762,0.769,0.15,-6.075,130.009,high
Sweet Home Alabama,Lynyrd Skynyrd,78,rock,0.606,0.596,0.886,0.181,-12.145,97.785,high
Free Bird,Lynyrd Skynyrd,75,rock,0.834,0.249,0.337,0.0742,-8.21,118.222,high
Simple Man,Lynyrd Skynyrd,73,rock,0.752,0.422,0.404,0.0366,-8.682,120.47,high
S P E Y S I D E,Bon Iver,72,folk,0.247,0.467,0.258,0.906,-14.161,140.232,high
Silver Lining,Mt. Joy,74,folk,0.638,0.486,0.178,0.000921,-6.231,144.458,high
To Build A Home,"The Cinematic Orchestra, Patrick Watson",72,folk,0.122,0.264,0.0735,0.885,-15.399,148.658,high
My Home,Myles Smith,73,folk,0.485,0.753,0.547,0.345,-9.431,95.968,high
Stubborn Love,The Lumineers,74,folk,0.561,0.598,0.231,0.611,-11.676,115.011,high
Thinking 'Bout Love,Wild Rivers,71,folk,0.324,0.733,0.388,0.479,-8.122,141.8,high
i am not who i was,Chance Peña,79,folk,0.22,0.702,0.197,0.698,-13.696,129.9,high
THINGS BEHIND THINGS BEHIND THINGS,Bon Iver,69,folk,0.467,0.413,0.377,0.732,-9.282,157.338,high
Orange Juice,Noah Kahan,73,folk,0.378,0.662,0.207,0.475,-10.908,120.133,high
Evergreen,Richy Mitch & The Coal Miners,84,folk,0.216,0.555,0.504,0.557,-11.661,79.109,high
anything,Adrianne Lenker,77,folk,0.291,0.388,0.51,0.774,-12.952,83.943,high
Work Song,Hozier,77,folk,0.363,0.531,0.259,0.749,-7.672,121.412,high
Je te laisserai des mots,Patrick Watson,83,folk,0.187,0.303,0.212,0.989,-16.757,132.679,high
Scared To Start,Michael Marcagi,84,folk,0.551,0.527,0.443,0.384,-11.258,148.035,high
Big Black Car,Gregory Alan Isakov,76,folk,0.186,0.6,0.468,0.909,-15.926,110.044,high
Solo,Myles Smith,73,folk,0.439,0.586,0.365,0.715,-7.993,122.877,high
Turn out fine,Henrik,68,folk,0.417,0.654,0.649,0.446,-9.226,87.003,high
Good To Be,Mark Ambor,71,folk,0.731,0.656,0.376,0.575,-5.861,94.009,high
Homesick,Noah Kahan,70,folk,0.624,0.505,0.413,0.0253,-6.526,170.076,high
The Mountain Is You,Chance Peña,69,folk,0.452,0.413,0.102,0.588,-10.232,108.953,high
Saturday Sun,Vance Joy,69,folk,0.864,0.637,0.706,0.484,-4.381,99.995,high
Down by the Water,Ocie Elliott,73,folk,0.331,0.611,0.559,0.93,-12.493,95.015,high
Walkin’ Back to Georgia,Jim Croce,69,folk,0.312,0.681,0.789,0.816,-16.173,128.094,high
The Devil Wears a Suit and Tie,Colter Wall,70,folk,0.316,0.625,0.452,0.777,-12.124,127.823,high
Heart of Gold,Neil Young,71,folk,0.399,0.537,0.832,0.202,-13.547,171.402,high
Operator (That's Not the Way It Feels),Jim Croce,71,folk,0.533,0.687,0.814,0.573,-8.853,130.398,high
A Horse with No Name,"America, George Martin",76,folk,0.507,0.653,0.831,0.687,-17.18,123.188,high
Sleeping on the Blacktop,Colter Wall,74,folk,0.309,0.583,0.473,0.824,-14.509,82.789,high
White Brown Black,"Avvy Sra, Karan Aujla, Jaani",73,indian,0.748,0.868,0.829,0.29,-3.492,119.965,high
Brown Munde,"AP Dhillon, Gminxr, Gurinder Gill, Shinda Kahlon",68,indian,0.611,0.854,0.417,0.223,-6.26,100.024,high
Can We Kiss Forever?,"Kina, Adriana Proenza",70,lofi,0.128,0.522,0.124,0.894,-18.717,109.986,high
Get You The Moon (feat. Snøw),"Kina, Snøw",73,lofi,0.235,0.498,0.0895,0.72,-16.541,118.917,high
Behind Every Decision,Yehezkel Raz,70,classical,0.00362,0.235,0.0885,0.995,-37.822,69.677,high
Stumblin' In,CYRIL,84,electronic,0.518,0.875,0.37,0.0638,-8.388,126.089,high
